"","owner","qb","rb","wr","te","total"
"1","Rah292",0.0249,0.1065,0.187,0.0356,0.1313
"2","silentclock",0.0208,0.1093,0.1537,0.0648,0.1192
"3","Azraels_Little_Helper",0.1349,0.1347,0.1054,0.0112,0.1117
"4","hyphenated",0.0103,0.163,0.0834,0.0559,0.1064
"5","Mage",0.025,0.0913,0.1141,0.1544,0.1015
"6","solarpool",0.1264,0.0416,0.1161,0.254,0.0989
"7","Eidolonic",0.1949,0.0142,0.1097,0.0933,0.078
"8","Klael",0.1023,0.1107,0.0144,0.0945,0.0648
"9","KaiShek",0.0328,0.0749,0.0706,0.0043,0.0641
"10","WacoRides2glory",0.1021,0.0991,0.0134,0.0023,0.0526
"11","AKWilson",0.2045,0.0232,0.0291,0.0183,0.0396
"12","MonkeyEpoxy",0.021,0.0317,0.0031,0.2114,0.0319
